Label,Hours
Telecom - Port Network,"[5.5, 0.58, 14.5, 31.5, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 3.0, 1.0, 18.0, 1.0, 0.98, 1.0, 2.0, 2.0, 11.0, 0.98, 0.98, 2.0, 2.0, 3.0, 1.0, 2.0, 9.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 5.0, 4.0, 2.0, 1.71, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 24.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 1.0, 15.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 17.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 8.0, 2.0, 2.0]"
Telecom - Supervisor,"[1.5, 4.0, 0.13, 0.59, 4.0, 3.21, 2.98, 2.96, 2.98, 4.5, 3.0, 9.5, 3.0, 2.96, 2.0, 0.42, 3.0, 1.96, 3.98, 2.96, 2.46, 2.98, 5.0, 3.0, 2.96, 1.5, 3.48, 2.0, 3.96, 2.48, 3.0, 2.0, 4.5, 5.48, 1.96, 3.0, 2.0, 3.0, 5.0, 2.0, 2.98, 2.98, 1.96, 4.0, 2.46, 1.0, 4.0, 4.0, 2.98, 1.5, 4.94, 0.42, 2.98, 1.96, 2.5, 2.98, 3.0, 1.5, 2.46, 5.0, 2.98, 0.34, 1.96, 2.96, 1.98, 1.25, 2.5, 2.96, 1.96, 2.96, 2.5, 3.0, 2.96, 4.0, 2.98, 1.46, 2.46, 3.0, 3.0, 2.46, 3.0, 5.44, 3.71, 3.5, 3.98, 4.0, 8.94, 7.46, 4.0, 3.0, 2.98, 3.48, 1.5, 1.5, 3.48, 3.5, 1.96, 0.46, 2.96, 2.46, 4.0, 2.0, 2.46, 3.96, 3.23, 5.5, 3.46, 2.96, 3.0, 1.96, 0.34, 1.0, 1.5, 4.46, 5.0, 1.0, 2.96, 1.98, 0.34, 1.96, 2.96, 5.44, 2.98, 3.46, 0.45, 5.48, 3.48, 1.98, 2.52, 4.0, 0.34, 0.98, 4.5, 2.0, 2.5, 0.96, 2.46, 4.0, 3.48, 0.34, 5.0, 2.0, 3.0, 3.0, 2.5, 1.0, 1.68, 0.17, 0.17, 1.75, 4.98, 1.96, 4.5, 2.98, 2.98, 2.98, 3.0, 3.0, 1.96, 2.96, 2.98, 1.97, 3.0, 0.67, 2.0, 3.0, 3.98, 0.69, 0.2, 8.92, 5.0, 0.34, 4.0, 2.98, 4.5, 4.98, 2.71]"
Telecom - Station / Extension,"[1.5, 6.71, 0.48, 3.96, 4.23, 0.84, 1.5, 1.0, 9.48, 0.5, 7.81, 0.95, 5.0, 14.0, 2.46, 1.0, 5.43, 7.44, 1.23, 3.67, 10.92, 1.0, 1.0, 1.0, 0.63, 3.28, 0.68, 2.46, 0.98, 3.0]"
Telecom - Access changes,"[2.0, 0.33, 13.0]"
Telecom - Reporting issues,"[2.08, 2.08, 1.45, 2.0, 2.0, 2.53, 2.5, 2.0, 4.96, 3.71, 2.0, 6.48]"
Telecom - SSO login issues,"[5.0, 2.98, 4.0, 162.0]"
Telecom - Forecasting issues,"[0.35, 27.05, 50.5, 43.0, 52.0, 18.0, 31.5, 27.0, 38.0, 13.0]"
Telecom - Call Flow issues,"[24.22, 4.98, 2.96, 2.0, 4.5, 0.98]"
Telecom - Remote access,"[1.5, 34.5, 194.41, 4.0, 0.2, 0.25, 8.0]"
Telecom - Dead Phone,"[0.55, 6.0, 3.0, 3.0, 178.0, 2.23, 1.5, 2.73, 3.21, 2.23, 1.48, 1.83, 3.0, 0.48, 2.0, 1.96, nan]"
